2,iphone13,,92,black
3,keyboard,paris,16,red
4,iphone12,usa,87,blue
5,iphone12,china,53,red
6,,paris,2,
7,keyboard,,44,
8,iphone12,china,43,black
9,ball,india,14,red
10,pc,china,91,red
11,,china,44,
12,pc,usa,15,blue
13,iphone13,paris,58,blue
14,iphone13,india,41,red
15,car,paris,19,red
16,car,,76,blue
17,car,,75,black
18,car,china,82,
19,,usa,85,
20,iphone13,india,30,red
21,keyboard,paris,39,red
22,tshirt,,73,red
23,tshirt,china,74,red
24,iphone13,india,44,red
25,ball,india,47,red
26,tshirt,usa,28,black
27,iphone13,china,49,black
28,,,59,
29,car,,80,blue
30,iphone12,usa,48,blue
31,iphone12,china,87,red
32,iphone12,china,46,red
33,pc,paris,57,black
34,car,usa,34,red
35,,usa,57,
36,iphone12,china,98,black
37,iphone13,usa,32,
38,pc,paris,22,red
39,,india,52,blue
40,iphone12,,86,black
41,ball,paris,72,
42,car,,6,black
43,keyboard,india,71,black
44,iphone12,india,62,black
45,keyboard,usa,88,
46,,paris,32,black
47,pc,,82,black
48,keyboard,india,94,black
49,iphone12,paris,29,red
50,iphone13,india,45,blue
51,ball,china,46,black
52,pc,china,91,
53,car,china,31,
54,tshirt,china,4,red
55,ball,china,40,
56,pc,india,91,red
57,iphone12,china,100,blue
58,iphone13,india,74,
59,,usa,71,red
60,ball,india,29,black
61,tshirt,paris,78,red
62,tshirt,china,42,blue
63,keyboard,,38,black
64,car,paris,41,black
65,tshirt,,16,black
66,car,paris,91,black
67,pc,paris,23,
68,ball,paris,85,black
69,tshirt,,3,
70,keyboard,,47,
71,pc,india,45,
72,pc,,40,blue
73,iphone12,usa,82,blue
74,pc,india,72,
75,iphone12,,42,
76,ball,china,98,black
77,car,,68,red
78,pc,china,46,
79,,usa,33,red
80,,paris,67,
81,keyboard,india,37,
82,iphone12,paris,18,black
83,iphone12,usa,19,black
84,iphone12,usa,21,
85,iphone13,,57,red
86,keyboard,usa,23,red
87,iphone13,,43,
88,,paris,23,black
89,ball,india,48,blue
90,iphone13,,27,black
91,iphone12,china,41,black
92,tshirt,,59,
93,tshirt,,15,red
94,,china,6,
95,iphone13,paris,63,blue
96,keyboard,usa,81,red
97,ball,paris,99,blue
98,iphone13,china,93,
99,iphone12,india,49,blue
100,ball,,76,
101,tshirt,usa,38,
102,,,96,red
103,iphone13,usa,66,
104,,india,85,black
105,ball,paris,86,blue
106,iphone13,china,48,red
107,car,india,75,black
108,iphone13,india,33,blue
109,iphone13,india,48,red
110,keyboard,usa,6,
111,iphone12,paris,86,blue
112,pc,india,53,red
113,ball,paris,15,blue
114,car,paris,29,black
115,ball,china,26,blue
116,keyboard,india,52,red
117,,india,52,red
118,pc,india,1,blue
119,ball,paris,12,
120,tshirt,paris,43,black
121,iphone12,paris,62,red
122,tshirt,india,46,blue
123,,india,77,red
124,,china,43,red
125,pc,india,6,red
126,pc,,49,
127,iphone13,india,46,red
128,iphone12,china,23,red
129,tshirt,paris,93,red
130,pc,,89,blue
131,iphone13,paris,87,red
132,car,paris,10,black
133,,,5,blue
134,keyboard,india,73,blue
135,,china,28,black
